X_times,Y-amplitude
3.47,-595.9775192392647
3.475,-557.230600730331
3.48,-517.9392127470586
3.485,-478.17428907195193
3.49,-438.00045140312034
3.495,-397.47618317700557
3.5,-356.65409107749497
3.505,-315.5812499974349
3.51,-274.2996228319341
3.515,-232.8465430853321
3.52,-191.2552466373009
3.525,-149.55543948645087
3.53,-107.77389072950942
3.535,-65.93504371869359
3.54,-24.061642109309037
3.545,17.82462982497208
3.55,59.70249253111482
3.555,101.55040365981654
3.56,143.34588259083304
3.565,185.06483606824034
3.57,226.6808976287172
3.575,268.1647954695755
3.58,309.48376312147394
3.585,350.6010047945148
3.59,391.47522314407075
3.595,432.0602124250944
3.6,472.3045157963049
3.605,512.1511431484876
3.61,551.5373460169301
3.615,590.3944486969094
3.62,628.6477385627791
3.625,666.2164224118286
3.63,703.0136581621795
3.635,738.9466715938204
3.64,773.9169657773523
3.645,807.8206267365676
3.65,840.5487236418563
3.655,871.9877967613413
3.66,902.0204228797714
3.665,930.525846819439
3.67,957.3806691948416
3.675,982.4595839839712
3.68,1005.6361636300406
3.685,1026.7836926486916
3.69,1045.7760519389985
3.695,1062.4886547889437
3.7,1076.7994322153402
3.705,1088.589860552408
3.71,1097.7460192474957
3.715,1104.159662950169
3.72,1107.7292902900654
3.725,1108.3611927345598
3.73,1105.9704702972879
3.735,1100.4820055659804
3.74,1091.831392022922
3.745,1079.9658154874762
3.75,1064.8448878305626
3.755,1046.441429913187
3.76,1024.7421968440742
3.765,999.748534413478
3.77,971.476952203914
3.775,939.9595974094989
3.78,905.2446143841952
3.785,867.3963783301335
3.79,826.4955965938308
3.795,782.639276494143
3.8,735.9405629985847
3.805,686.528451751058
3.81,634.5473825997526
3.815,580.1567164529937
3.82,523.5300951540918
3.825,464.8546813793055
3.83,404.3302743402537
3.835,342.16829787783917
3.84,278.590660447278
3.845,213.82849111823592
3.85,148.12076124044324
3.855,81.71280691531796
3.86,14.854772154393482
3.865,-52.20000390368019
3.87,-119.19663060007048
3.875,-185.88031545385843
3.88,-251.9979976834047
3.885,-317.2999472460994
3.89,-381.5413156226403
3.895,-444.48362867549986
3.9,-505.8962147728869
3.905,-565.5575624977213
3.91,-623.2566015899183
3.915,-678.7938987359777
3.92,-731.9827572630671
3.925,-782.6502077113361
3.93,-830.6378755883815
3.935,-875.8027140215589
3.94,-918.0175925889463
3.945,-957.1717386311338
3.95,-993.1710326129974
3.955,-1025.9381633892615
3.96,-1055.4126516807655
3.965,-1081.5507504132443
3.97,-1104.3252290987668
3.975,-1123.7250468662182
3.98,-1139.7549160607919
3.985,-1152.434756629151
3.99,-1161.799041672923
3.995,-1167.8960369148822
4.0,-1170.786940981448
4.005,-1170.5449383079563
4.01,-1167.254180735331
4.015,-1161.0087163159415
4.02,-1151.9113839383463
4.025,-1140.072690246788
4.03,-1125.6096816537256
4.035,-1108.644820087905
4.04,-1089.3048676349958
4.045,-1067.7197833296875
4.05,-1044.021635538975
4.055,-1018.3435355292332
4.06,-990.8186011715178
4.065,-961.5789631436246
4.07,-930.7548282359826
4.075,-898.4736145384793
4.08,-864.8591710619736
4.085,-830.031090228914
4.09,-794.1041167267305
4.095,-757.1876516229565
4.1,-719.385347343742
4.105,-680.794787734455
4.11,-641.5072481131012
4.115,-601.60753260722
4.12,-561.1738892426005
4.125,-520.2780060206098
4.13,-478.9850924246603
4.135,-437.3540498039036
4.14,-395.4377310299429
4.145,-353.283285485087
4.15,-310.93258093201786
4.155,-268.42269025215023
4.16,-225.7864292423973
4.165,-183.05293200613545
4.17,-140.24825284541203
4.175,-97.39598726429095
4.18,-54.517908571589786
4.185,-11.634619396352878
4.19,31.23378171691726
4.195,74.06701993650026
4.2,116.84395469953013
4.205,159.54189016167632
4.21,202.1358982864602
4.215,244.59816947313843
4.22,286.89740549817634
4.225,328.99826712924056
4.23,370.860884632581
4.235,412.44043451298234
4.24,453.6867814451881
4.245,494.5441817683716
4.25,534.9510449422163
4.255,574.8397518620508
4.26,614.1365328598835
4.265,652.7614121665127
4.27,690.6282282846837
4.275,727.6447402374755
4.28,763.7128277027865
4.285,798.7287889457353
4.29,832.5837351149421
4.295,865.1640742268663
4.3,896.3520744563154
4.305,926.0264951395864
4.31,954.0632753485954
4.315,980.336273385746
4.32,1004.7180547814878
4.325,1027.0807297633519
4.33,1047.2968424982703
4.335,1065.2403132691156
4.34,1080.7874314080434
4.345,1093.8178920423238
4.35,1104.2158646721637
4.355,1111.8710776264788
4.36,1116.6799006452688
4.365,1118.5464087418711
4.37,1117.3834138275477
4.375,1113.1134552786773
4.38,1105.6697451763907
4.385,1094.9970668787907
4.39,1081.0526259885562
4.395,1063.8068506435732
4.4,1043.2441342252832
4.405,1019.3635093277137
4.41,992.1792384322924
4.415,961.721305203529
4.42,928.035791238511
4.425,891.1851264291785
4.43,851.2482061192247
4.435,808.3203737198155
4.44,762.5132719292104
4.445,713.9545679931798
4.45,662.7875581588934
4.455,609.1706541700111
4.46,553.2767514832316
4.465,495.2924761381005
4.47,435.41730592031126
4.475,373.86256220454163
4.48,310.8502717233212
4.485,246.6119020915744
4.49,181.38698043033875
4.495,115.42160995678778
4.5,48.96690424330478
4.505,-17.722637483306936
4.51,-84.3907886319456
4.515,-150.78126187369622
4.52,-216.63936112856453
4.525,-281.71359985212297
4.53,-345.7572711909039
4.535,-408.5299598857028
4.54,-469.7989889233109
4.545,-529.3407953133815
4.55,-586.9422288651309
4.555,-642.4017658437651
4.56,-695.5306267283923
4.565,-746.1537849993802
4.57,-794.1108529530188
4.575,-839.256831721497
4.58,-881.462716123197
4.585,-920.6159500360627
4.59,-956.6207334532785
4.595,-989.3981869590611
4.6,-1018.8863821220057
4.605,-1045.0402468801956
4.61,-1067.831353616022
4.615,-1087.2475949895027
4.62,-1103.2927497305081
4.625,-1115.9859386334379
4.63,-1125.3609709193763
4.635,-1131.4655833323493
4.64,-1134.3605784648535
4.645,-1134.1188738287703
4.65,-1130.8244777026096
4.655,-1124.5714105519023
4.66,-1115.4625911844273
4.665,-1103.6087048063875
4.67,-1089.1270664346405
4.675,-1072.14048877958
4.68,-1052.7761599503742
4.685,-1031.1645341380113
4.69,-1007.438238367907
4.695,-981.7310004450702
4.7,-954.176606617227
4.705,-924.9079010712155
4.71,-894.0558418893601
4.715,-861.7486285123326
4.72,-828.1109136861563
4.725,-793.2631087630298
4.73,-757.3207861567371
4.735,-720.3941779379012
4.74,-682.5877660103944
4.745,-643.9999577248947
4.75,-604.7228413763352
4.755,-564.8420184343562
4.76,-524.4365126678417
4.765,-483.5787593079623
4.77,-442.3346788422286
4.775,-400.7638392407518
4.78,-358.9197074558116
4.785,-316.84998665934893
4.79,-274.5970310303923
4.795,-232.19832614788697
4.8,-189.6870210596879
4.805,-147.0924983087763
4.81,-104.440970519615
4.815,-61.756095912148744
4.82,-19.059609156266944
4.825,23.62803297159423
4.83,66.28699060451339
